simulator-1  | 2026-03-24 15:50:45,521 [INFO] simulator.main: Event loop latency 0.00088 s
simulator-1  | 2026-03-24 15:50:46,521 [INFO] simulator.main: Event loop latency 0.00048 s
simulator-1  | 2026-03-24 15:50:47,521 [INFO] simulator.main: Event loop latency 0.00050 s
simulator-1  | 2026-03-24 15:50:47,531 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f04-r405", "seconds_silent": 76.23, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:50:47,567 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:50:48,521 [INFO] simulator.main: Event loop latency 0.00081 s
simulator-1  | 2026-03-24 15:50:49,521 [INFO] simulator.main: Event loop latency 0.00076 s
simulator-1  | 2026-03-24 15:50:50,522 [INFO] simulator.main: Event loop latency 0.00151 s
simulator-1  | 2026-03-24 15:50:51,520 [INFO] simulator.main: Event loop latency 0.00042 s
simulator-1  | 2026-03-24 15:50:52,521 [INFO] simulator.main: Event loop latency 0.00112 s
simulator-1  | 2026-03-24 15:50:53,521 [INFO] simulator.main: Event loop latency 0.00101 s
simulator-1  | 2026-03-24 15:50:54,521 [INFO] simulator.main: Event loop latency 0.00063 s
simulator-1  | 2026-03-24 15:50:55,522 [INFO] simulator.main: Event loop latency 0.00168 s
simulator-1  | 2026-03-24 15:50:56,521 [INFO] simulator.main: Event loop latency 0.00059 s
simulator-1  | 2026-03-24 15:50:57,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:50:57,532 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f04-r405", "seconds_silent": 86.23, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:50:58,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:50:59,521 [INFO] simulator.main: Event loop latency 0.00110 s
simulator-1  | 2026-03-24 15:51:00,521 [INFO] simulator.main: Event loop latency 0.00074 s
simulator-1  | 2026-03-24 15:51:01,521 [INFO] simulator.main: Event loop latency 0.00093 s
simulator-1  | 2026-03-24 15:51:02,520 [INFO] simulator.main: Event loop latency 0.00029 s
simulator-1  | 2026-03-24 15:51:03,521 [INFO] simulator.main: Event loop latency 0.00107 s
simulator-1  | 2026-03-24 15:51:04,522 [INFO] simulator.main: Event loop latency 0.00148 s
simulator-1  | 2026-03-24 15:51:05,521 [INFO] simulator.main: Event loop latency 0.00098 s
simulator-1  | 2026-03-24 15:51:06,520 [INFO] simulator.main: Event loop latency 0.00037 s
simulator-1  | 2026-03-24 15:51:07,520 [INFO] simulator.main: Event loop latency 0.00035 s
simulator-1  | 2026-03-24 15:51:07,533 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f04-r405", "seconds_silent": 96.23, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:08,520 [INFO] simulator.main: Event loop latency 0.00033 s
simulator-1  | 2026-03-24 15:51:09,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:51:10,520 [INFO] simulator.main: Event loop latency 0.00032 s
simulator-1  | 2026-03-24 15:51:11,522 [INFO] simulator.main: Event loop latency 0.00154 s
simulator-1  | 2026-03-24 15:51:12,521 [INFO] simulator.main: Event loop latency 0.00109 s
simulator-1  | 2026-03-24 15:51:13,521 [INFO] simulator.main: Event loop latency 0.00101 s
simulator-1  | 2026-03-24 15:51:14,521 [INFO] simulator.main: Event loop latency 0.00111 s
simulator-1  | 2026-03-24 15:51:15,520 [INFO] simulator.main: Event loop latency 0.00017 s
simulator-1  | 2026-03-24 15:51:16,522 [INFO] simulator.main: Event loop latency 0.00197 s
simulator-1  | 2026-03-24 15:51:17,521 [INFO] simulator.main: Event loop latency 0.00046 s
simulator-1  | 2026-03-24 15:51:17,577 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:51:18,521 [INFO] simulator.main: Event loop latency 0.00094 s
simulator-1  | 2026-03-24 15:51:19,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:51:20,521 [INFO] simulator.main: Event loop latency 0.00043 s
simulator-1  | 2026-03-24 15:51:21,521 [INFO] simulator.main: Event loop latency 0.00076 s
simulator-1  | 2026-03-24 15:51:22,521 [INFO] simulator.main: Event loop latency 0.00100 s
simulator-1  | 2026-03-24 15:51:23,521 [INFO] simulator.main: Event loop latency 0.00070 s
simulator-1  | 2026-03-24 15:51:24,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:51:25,521 [INFO] simulator.main: Event loop latency 0.00072 s
simulator-1  | 2026-03-24 15:51:26,520 [INFO] simulator.main: Event loop latency 0.00022 s
simulator-1  | 2026-03-24 15:51:27,520 [INFO] simulator.main: Event loop latency 0.00028 s
simulator-1  | 2026-03-24 15:51:28,521 [INFO] simulator.main: Event loop latency 0.00063 s
simulator-1  | 2026-03-24 15:51:29,521 [INFO] simulator.main: Event loop latency 0.00106 s
simulator-1  | 2026-03-24 15:51:30,521 [INFO] simulator.main: Event loop latency 0.00108 s
simulator-1  | 2026-03-24 15:51:31,520 [INFO] simulator.main: Event loop latency 0.00038 s
simulator-1  | 2026-03-24 15:51:32,521 [INFO] simulator.main: Event loop latency 0.00077 s
simulator-1  | 2026-03-24 15:51:33,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:51:34,520 [INFO] simulator.main: Event loop latency 0.00019 s
simulator-1  | 2026-03-24 15:51:35,521 [INFO] simulator.main: Event loop latency 0.00113 s
simulator-1  | 2026-03-24 15:51:36,521 [INFO] simulator.main: Event loop latency 0.00053 s
simulator-1  | 2026-03-24 15:51:37,521 [INFO] simulator.main: Event loop latency 0.00091 s
simulator-1  | 2026-03-24 15:51:37,537 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f09-r904", "seconds_silent": 69.94, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:37,537 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f10-r1018", "seconds_silent": 65.09, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:38,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:51:39,521 [INFO] simulator.main: Event loop latency 0.00095 s
simulator-1  | 2026-03-24 15:51:40,521 [INFO] simulator.main: Event loop latency 0.00070 s
simulator-1  | 2026-03-24 15:51:41,521 [INFO] simulator.main: Event loop latency 0.00128 s
simulator-1  | 2026-03-24 15:51:42,521 [INFO] simulator.main: Event loop latency 0.00094 s
simulator-1  | 2026-03-24 15:51:43,520 [INFO] simulator.main: Event loop latency 0.00039 s
simulator-1  | 2026-03-24 15:51:44,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:51:45,521 [INFO] simulator.main: Event loop latency 0.00085 s
simulator-1  | 2026-03-24 15:51:46,522 [INFO] simulator.main: Event loop latency 0.00146 s
simulator-1  | 2026-03-24 15:51:47,521 [INFO] simulator.main: Event loop latency 0.00077 s
simulator-1  | 2026-03-24 15:51:47,538 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f09-r904", "seconds_silent": 79.94, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:47,538 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f10-r1018", "seconds_silent": 75.09, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:47,589 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:51:48,521 [INFO] simulator.main: Event loop latency 0.00063 s
simulator-1  | 2026-03-24 15:51:49,521 [INFO] simulator.main: Event loop latency 0.00069 s
simulator-1  | 2026-03-24 15:51:50,521 [INFO] simulator.main: Event loop latency 0.00099 s
simulator-1  | 2026-03-24 15:51:51,520 [INFO] simulator.main: Event loop latency 0.00017 s
simulator-1  | 2026-03-24 15:51:52,521 [INFO] simulator.main: Event loop latency 0.00115 s
simulator-1  | 2026-03-24 15:51:53,521 [INFO] simulator.main: Event loop latency 0.00095 s
simulator-1  | 2026-03-24 15:51:54,520 [INFO] simulator.main: Event loop latency 0.00005 s
simulator-1  | 2026-03-24 15:51:55,521 [INFO] simulator.main: Event loop latency 0.00125 s
simulator-1  | 2026-03-24 15:51:56,521 [INFO] simulator.main: Event loop latency 0.00085 s
simulator-1  | 2026-03-24 15:51:57,521 [INFO] simulator.main: Event loop latency 0.00090 s
simulator-1  | 2026-03-24 15:51:57,539 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f10-r1018", "seconds_silent": 85.09, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:51:58,521 [INFO] simulator.main: Event loop latency 0.00136 s
simulator-1  | 2026-03-24 15:51:59,521 [INFO] simulator.main: Event loop latency 0.00093 s
simulator-1  | 2026-03-24 15:52:00,521 [INFO] simulator.main: Event loop latency 0.00048 s
simulator-1  | 2026-03-24 15:52:01,521 [INFO] simulator.main: Event loop latency 0.00102 s
simulator-1  | 2026-03-24 15:52:02,522 [INFO] simulator.main: Event loop latency 0.00229 s
simulator-1  | 2026-03-24 15:52:03,522 [INFO] simulator.main: Event loop latency 0.00172 s
simulator-1  | 2026-03-24 15:52:04,521 [INFO] simulator.main: Event loop latency 0.00104 s
simulator-1  | 2026-03-24 15:52:05,521 [INFO] simulator.main: Event loop latency 0.00096 s
simulator-1  | 2026-03-24 15:52:06,521 [INFO] simulator.main: Event loop latency 0.00089 s
simulator-1  | 2026-03-24 15:52:07,521 [INFO] simulator.main: Event loop latency 0.00076 s
simulator-1  | 2026-03-24 15:52:07,540 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f03-r306", "seconds_silent": 68.67, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:52:07,540 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f10-r1018", "seconds_silent": 95.09, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:52:08,522 [INFO] simulator.main: Event loop latency 0.00227 s
simulator-1  | 2026-03-24 15:52:09,521 [INFO] simulator.main: Event loop latency 0.00113 s
simulator-1  | 2026-03-24 15:52:10,521 [INFO] simulator.main: Event loop latency 0.00060 s
simulator-1  | 2026-03-24 15:52:11,520 [INFO] simulator.main: Event loop latency 0.00042 s
simulator-1  | 2026-03-24 15:52:12,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:52:13,520 [INFO] simulator.main: Event loop latency 0.00033 s
simulator-1  | 2026-03-24 15:52:14,521 [INFO] simulator.main: Event loop latency 0.00057 s
simulator-1  | 2026-03-24 15:52:15,521 [INFO] simulator.main: Event loop latency 0.00111 s
simulator-1  | 2026-03-24 15:52:16,521 [INFO] simulator.main: Event loop latency 0.00116 s
simulator-1  | 2026-03-24 15:52:17,521 [INFO] simulator.main: Event loop latency 0.00127 s
simulator-1  | 2026-03-24 15:52:17,542 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f03-r306", "seconds_silent": 78.67, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:52:17,604 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:52:18,521 [INFO] simulator.main: Event loop latency 0.00128 s
simulator-1  | 2026-03-24 15:52:19,522 [INFO] simulator.main: Event loop latency 0.00198 s
simulator-1  | 2026-03-24 15:52:20,521 [INFO] simulator.main: Event loop latency 0.00078 s
simulator-1  | 2026-03-24 15:52:21,522 [INFO] simulator.main: Event loop latency 0.00224 s
simulator-1  | 2026-03-24 15:52:22,521 [INFO] simulator.main: Event loop latency 0.00126 s
simulator-1  | 2026-03-24 15:52:23,521 [INFO] simulator.main: Event loop latency 0.00086 s
simulator-1  | 2026-03-24 15:52:24,521 [INFO] simulator.main: Event loop latency 0.00097 s
simulator-1  | 2026-03-24 15:52:25,521 [INFO] simulator.main: Event loop latency 0.00112 s
simulator-1  | 2026-03-24 15:52:26,522 [INFO] simulator.main: Event loop latency 0.00197 s
simulator-1  | 2026-03-24 15:52:27,521 [INFO] simulator.main: Event loop latency 0.00058 s
simulator-1  | 2026-03-24 15:52:27,543 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f03-r306", "seconds_silent": 88.67, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:52:28,521 [INFO] simulator.main: Event loop latency 0.00090 s
simulator-1  | 2026-03-24 15:52:29,521 [INFO] simulator.main: Event loop latency 0.00093 s
simulator-1  | 2026-03-24 15:52:30,521 [INFO] simulator.main: Event loop latency 0.00051 s
simulator-1  | 2026-03-24 15:52:31,521 [INFO] simulator.main: Event loop latency 0.00094 s
simulator-1  | 2026-03-24 15:52:32,522 [INFO] simulator.main: Event loop latency 0.00223 s
simulator-1  | 2026-03-24 15:52:33,521 [INFO] simulator.main: Event loop latency 0.00105 s
simulator-1  | 2026-03-24 15:52:34,521 [INFO] simulator.main: Event loop latency 0.00065 s
simulator-1  | 2026-03-24 15:52:35,521 [INFO] simulator.main: Event loop latency 0.00082 s
simulator-1  | 2026-03-24 15:52:36,521 [INFO] simulator.main: Event loop latency 0.00082 s
simulator-1  | 2026-03-24 15:52:37,521 [INFO] simulator.main: Event loop latency 0.00071 s
simulator-1  | 2026-03-24 15:52:37,544 [WARNING] simulator.engine.world_engine: fleet_health_warning {"room_id": "b01-f03-r306", "seconds_silent": 98.67, "timeout": 60, "event": "node_silent"}
simulator-1  | 2026-03-24 15:52:38,520 [INFO] simulator.main: Event loop latency 0.00041 s
simulator-1  | 2026-03-24 15:52:39,520 [INFO] simulator.main: Event loop latency 0.00035 s
simulator-1  | 2026-03-24 15:52:40,521 [INFO] simulator.main: Event loop latency 0.00051 s
simulator-1  | 2026-03-24 15:52:41,521 [INFO] simulator.main: Event loop latency 0.00084 s
simulator-1  | 2026-03-24 15:52:42,521 [INFO] simulator.main: Event loop latency 0.00102 s
simulator-1  | 2026-03-24 15:52:43,521 [INFO] simulator.main: Event loop latency 0.00084 s
simulator-1  | 2026-03-24 15:52:44,521 [INFO] simulator.main: Event loop latency 0.00100 s
